,30
Rubaiyat of Omar Khayyam,8
Lord of the Flies,8
Gustave Flaubert,8
Tartuffe,8
Beowulf,8
The Red and the Black,8
Euripides,8
Molière,8
Washington Irving,8
Ben Jonson,8
Jean-Paul Sartre,8
Aeschylus,8
Anne Bradstreet,8
Wallace Stevens,8
The Scarlet Letter,8
The Hunchback of Notre-Dame,8
W. H. Auden,8
Samuel Taylor Coleridge,8
A Clockwork Orange,8
Alexander Pushkin,8
Journey to the West,7
Günter Grass,7
Henry James,7
Hedda Gabler,7
Tom Stoppard,7
The Raven,7
The Handmaid's Tale,7
Sylvia Plath,7
George Eliot,7
Death in Venice,7
Waiting for Godot,7
Langston Hughes,7
William Carlos Williams,7
The Grapes of Wrath,7
Walter Scott,7
War and Peace,7
George Orwell,7
Tennessee Williams,7
The Lottery Man (1919 film),7
Willa Cather,7
Cormac McCarthy,7
The Unbearable Lightness of Being,7
Death of a Salesman,7
V. S. Naipaul,7
Antigone,7
Holden Caulfield,7
Edward Albee,7
Things Fall Apart,7
A Raisin in the Sun,7
Percy Bysshe Shelley,7
Rabindranath Tagore,7
The Catcher in the Rye,7
The Tin Drum,7
Saul Bellow,7
The Decameron,7
Kenzaburo Oe,6
Ray Bradbury,6
Spain,6
Italo Calvino,6
John Greenleaf Whittier,6
Naguib Mahfouz,6
Harold Pinter,6
Isabel Allende,6
Who's Afraid of Virginia Woolf?,6
Long Day's Journey into Night,6
Lolita,6
Flannery O'Connor,6
Wilfred Owen,6
Ulysses,6
Daniel Defoe,6
Awakening,6
"Bartleby, the Scrivener",6
A. E. Housman,6
Macbeth,6
Li Bai,6
A Tale of Two Cities,6
One Thousand and One Nights,6
The Importance of Being Earnest,6
Ovid,6
One Flew Over the Cuckoo's Nest,6
Jonathan Swift,6
On the Road,6
Wuthering Heights,6
James Joyce,6
Dog,6
The Count of Monte Cristo,6
Les Misérables,6
Their Eyes Were Watching God,6
Aleksandr Solzhenitsyn,6
Victor Hugo,6
Alexander Pope,6
Doctor Zhivago,6
William Shakespeare,6
The Three Musketeers,6
Ambrose Bierce,6
Midnight's Children,6
The Picture of Dorian Gray,6
Rosencrantz and Guildenstern Are Dead,6
Pygmalion,6
Petrarch,6
Leo Tolstoy,6
Japan,6
World War I,6
Oliver Twist,5
Rainer Maria Rilke,5
The Satanic Verses,5
Sense and Sensibility,5
William Cullen Bryant,5
Octavio Paz,5
Poland,5
Aeneid,5
Dracula,5
Inferno,5
Honoré de Balzac,5
Portugal,5
Animal Farm,5
The Old Man and the Sea,5
South Africa,5
The Trial,5
J. D. Salinger,5
Ramayana,5
R.U.R.,5
Alexandre Dumas,5
Horace,5
A Midsummer Night's Dream,5
John Steinbeck,5
Sherlock Holmes,5
Sonnet,5
Aldous Huxley,5
"The History of Tom Jones, a Foundling",5
Kate Chopin,5
Dylan Thomas,5
Jack London,5
August Wilson,5
Philip Roth,5
Our Town,5
Italy,5
The Sound and the Fury,5
James Baldwin,5
Haiku,5
Bertolt Brecht,5
Thornton Wilder,5
Eugene Onegin,5
The Taming of the Shrew,5
Thomas Pynchon,5
Vanity Fair,5
Vanity Fair (novel),5
King Lear,5
Robinson Crusoe,5
José Saramago,5
Edith Wharton,5
Siddhartha,5
Beloved,5
Argentina,5
Dover Beach,5
Chile,5
Yossarian,5
William Wordsworth,5
The Idiot,4
My Last Duchess,4
The Bell Jar,4
Adventures of Huckleberry Finn,4
The Little Prince,4
William Faulkner,4
Jane Austen,4
Cat on a Hot Tin Roof,4
Chicago,4
Oliver Goldsmith,4
Bret Harte,4
A Doll's House,4
John Updike,4
Tom Sawyer,4
The Crying of Lot 49,4
Rodion Romanovich Raskolnikov,4
Song of Myself,4
W. Somerset Maugham,4
The Sun Also Rises,4
Slaughterhouse-Five,4
Hamlet,4
Dante Alighieri,4
T. S. Eliot,4
Robert Louis Stevenson,4
"Rabbit, Run",4
Sophocles,4
Thanatopsis (band),4
H. G. Wells,4
Ralph Waldo Emerson,4
O. Henry,4
Uncle Tom's Cabin,4
Republic (disambiguation),4
August Strindberg,4
The Dumb Waiter,4
As I Lay Dying,4
E. M. Forster,4
Gwendolyn Brooks,4
Charles Dickens,4
The Sorrows of Young Werther,4
Ayn Rand,4
Harlem Renaissance,4
The Brothers Karamazov,4
Grendel,4
Nigeria,4
Sanskrit,4
Oedipus,4
Seamus Heaney,4
Mexico,4
Sinbad the Sailor,4
Little Women,4
Ivanhoe,4
Mark Twain,4
The Cherry Orchard,4
Much Ado About Nothing,4
Miguel de Cervantes,4
Ode to a Nightingale,4
The Good Earth,4
Ivan Turgenev,4
Lord Byron,4
Ezra Pound,4
William Golding,4
Robert,4
Ozymandias,4
Ethan Frome,4
Lines written a few miles above Tintern Abbey,4
Émile Zola,4
Kubla Khan,4
Les Fleurs du mal,4
Lewis Carroll,4
Nineteen Eighty-Four,3
John Dryden,3
The Necklace,3
Birds (disambiguation),3
Gargantua and Pantagruel,3
India,3
Three Sisters,3
A Farewell to Arms,3
Spoon River Anthology,3
The Cask of Amontillado,3
Stendhal,3
John,3
Marcel Proust,3
In Search of Lost Time,3
Jay Gatsby,3
Father and Son,3
Huckleberry Finn,3
An Enemy of the People,3
Carson McCullers,3
Red,3
The Prince,3
Milan Kundera,3
The Frogs,3
Salman Rushdie,3
Kazuo Ishiguro,3
Haruki Murakami,3
St. Francis College,3
Geoffrey Chaucer,3
Andrew Marvell,3
Carl Sandburg,3
Gothic fiction,3
The House of the Spirits,3
The Red Badge of Courage,3
Middlemarch,3
The Bluest Eye,3
J,3
Captain Ahab,3
The Glass Menagerie,3
Ode on a Grecian Urn,3
Gravity's Rainbow,3
Love in the Time of Cholera,3
Oedipus the King,3
Joseph Heller,3
Tess of the d'Urbervilles,3
No Exit,3
The,3
Egypt,3
French,3
The Merchant of Venice,3
France,3
Emma,3
Detective,3
A Portrait of the Artist as a Young Man,3
Eudora Welty,3
Native Son,3
Zora Neale Hurston,3
Upton Sinclair,3
The Rape of the Lock,3
Lemuel Gulliver,3
The Master and Margarita,3
Cat,3
Friedrich Schiller,3
The Second Coming (Kiss video),3
Bride of Frankenstein,3
List of To Kill a Mockingbird characters,3
Six Characters in Search of an Author,3
The Tyger,3
The Tell-Tale Heart,3
Strange Case of Dr Jekyll and Mr Hyde,3
Brideshead Revisited,3
The Rip Van Winkle Caper,3
Satire,3
Athol Fugard,3
Eugene,3
Gilgamesh,3
1984,3
Dead Souls,3
Richard Wright,3
University of Chicago,3
Visual impairment,2
Daisy Buchanan,2
Lynching,2
The Gift of the Magi,2
Stephen Dedalus,2
The Diary of a Young Girl,2
Oliver Wendell Holmes Jr.,2
Epic poetry,2
Elegy Written in a Country Churchyard,2
Soviet Union,2
Anne Frank,2
Sea,2
Ichabod - The Legend of Sleepy Hollow (Decca album),2
Fraktur,2
Paradise,2
Sherwood Anderson,2
Treasure Island,2
Snow Country,2
Shirley Jackson,2
The Charterhouse of Parma,2
Willy Loman,2
Twenty Love Poems and a Song of Despair,2
Snow,2
The Mayor of Casterbridge,2
The Nutcracker,2
James Thurber,2
Deus ex machina,2
Faust,2
Wine,2
D,2
Os Lusíadas,2
Satan,2
Hughes,2
The Ransom of Red Chief,2
Epic of Gilgamesh,2
Edna St. Vincent Millay,2
Because I could not stop for Death,2
Jonathan Franzen,2
Lysistrata,2
World War II,2
Charles,2
Julius Caesar (play),2
V,2
Theodore Dreiser,2
Kenzaburo Oe ,2
An Occurrence at Owl Creek Bridge (film),2
Patrick White,2
Colonial history of the United States,2
Chronicle of a Death Foretold,2
Dream of the Red Chamber,2
Yellow,2
"Orlando, Florida",2
The Things They Carried,2
Thomas Gray,2
Brazil,2
Suicide,2
Samuel Butler,2
Charge of the Light Brigade (disambiguation),2
Uncle Tom,2
Autobiography,2
Rudyard Kipling,2
Jude the Obscure,2
Okonkwo,2
The Lottery,2
Kalevala,2
Miss Julie,2
A Passage to India,2
Death,2
Ralph Ellison,2
Mansfield Park,2
Israel,2
Jean Valjean,2
My Ántonia,2
American Civil War,2
Margaret,2
The Fall of the House of Usher,2
Catullus,2
David Foster Wallace,2
Erich Maria Remarque,2
The Emperor of Ice-Cream,2
Essay,2
Agamemnon,2
Canada,2
Winter,2
Thirteen Ways of Looking at a Blackbird,2
Latin,2
The Crucible,2
Baseball,2
Steppenwolf (novel),2
Canto General,2
Don DeLillo,2
Tom Wolfe,2
The Metamorphosis,2
The Pilgrim's Progress,2
Rose,2
Samuel Richardson,2
An American Tragedy,2
United States,2
The Last of the Mohicans,2
Karen Blixen,2
New Orleans,2
Henry Fielding,2
The Jungle,2
Kim,2
Waiting for Lefty,2
Far from the Madding Crowd,2
Ender Wiggin,2
One Day in the Life of Ivan Denisovich,2
Ernest,2
Boxing,2
Roots: The Saga of an American Family,2
All the King's Men,2
William Makepeace Thackeray,2
Silas Marner,2
"Absalom, Absalom!",2
Sir Gawain and the Green Knight,2
The Hunger Games,2
Chikamatsu Monzaemon,2
O Pioneers!,2
Butterfly,2
The Overcoat (1926 film),2
The Road Not Taken,2
Russia,2
Giovanni Boccaccio,2
Fahrenheit 451,2
Pip (Great Expectations),2
The Power and the Glory,2
A Confederacy of Dunces,2
Leaves of Grass,2
Clan Gordon,2
Samuel Johnson,2
German language,2
RAND Corporation,2
Turkey,2
Norway,2
John Dos Passos,2
The Iceman Cometh,2
Arabic,2
Doctor,2
Niccolò Machiavelli,2
The Bald Soprano,2
Ghost,2
Divine Comedy,2
Crito,2
Steppenwolf,2
Graham Greene,2
Interpreter of Maladies,2
Richard Brinsley Sheridan,2
As You Like It,2
The Death of Artemio Cruz,2
The War of the Worlds,2
To the Lighthouse,2
Main Street,2
A Room with a View,2
Truman Capote,2
Orhan Pamuk,2
Bear,2
Alice Walker,2
Metamorphoses,2
Ebenezer Scrooge,2
The Jew of Malta,2
Hester Prynne,2
Fable,2
Daddy longlegs,2
A Good Man Is Hard to Find,2
The House of the Seven Gables,2
Sancho Panza,2
Endgame,2
Pearl (disambiguation),2
Tartarus,1
The Road,1
Beat Generation,1
Duino Elegies,1
Rob Roy,1
Inferno (Dante),1
Plato,1
Hiroshima,1
Drowning,1
Matthew Arnold,1
Chinese Americans,1
Poetry,1
Poor relief,1
The Threepenny Opera,1
Jerry Seinfeld,1
Bernard Malamud,1
Mayor of Pichilemu,1
Greek chorus,1
Order of the Phoenix (fictional organisation),1
Raymond Chandler,1
Classical Latin,1
Non-fiction novel,1
Greene,1
Tommy Walker,1
Modern Greek,1
Beatrice,1
Haim,1
glyph1197ew Zealand ,1
Firefighter,1
Derek Walcott,1
Book,1
Wales,1
Piano,1
Epic,1
The Miser,1
Nikolai Vasilievitch Gogol,1
Ryunosuke Akutagawa ,1
Flower of Evil,1
Death Comes for the Archbishop,1
Alan Paton,1
Irony,1
Friedrich Engels,1
Jesus,1
A,1
Heimdallr,1
Karel Capek ,1
The Miller's Tale,1
Peasants' Revolt,1
Juventus F.C.,1
Ajax (programming),1
Macduff,1
Japanese,1
Alger Hiss,1
Blue,1
Pudd'nhead Wilson,1
Kingsley Amis,1
Black Beauty,1
Voltaire,1
The Winter's Tale,1
Alfred Stieglitz,1
Hero,1
The Lady of Blossholme,1
Metaphysical poets,1
Judge,1
The Secret Life of Walter Mitty (1947 film),1
The Three Hermits,1
Duke Ellington,1
Film criticism,1
Aside,1
List of Hill Street Blues episodes,1
U.S.A. (trilogy),1
Sutra,1
Romeo,1
William,1
Rabbit,1
The Jungle Book,1
Cancer Ward,1
The Animals,1
Roth,1
W,1
A Separate Peace,1
In medias res,1
Disgrace,1
Inherit the Wind,1
Fool (novel),1
Mirror,1
Cooper,1
François Rabelais,1
Akutagawa Ryunosuke,1
Snowy,1
August 27,1
Elmer Gantry,1
She Stoops to Conquer,1
The Mayor of Zalamea,1
Center for the Greek Language,1
The Good Soldier,1
Vampire,1
In the Penal Colony,1
Saint Petersburg,1
Elizabeth Barrett Browning,1
Raymond Carver,1
Egyptian,1
Thanatopsis,1
Cat's Cradle,1
Journalism,1
Luck,1
When Lilacs Last in the Dooryard Bloom'd,1
Ahimsa,1
Romance of the Three Kingdoms,1
Cain and Abel,1
Romani people,1
Heinrich Böll,1
The Phenomenology of Spirit,1
The Remains of the Day,1
The Misanthrope,1
The Day of the Locust,1
Beatrice Portinari,1
Netherlands,1
James Ngugi Wa Thiong'o,1
Daisy Miller,1
The Color Purple,1
Caribbean,1
Richard Cory (song),1
Anderson,1
A Valediction: Forbidding Mourning,1
Saint Boniface,1
Around the World in Eighty Days,1
Charles de Batz-Castelmore d'Artagnan,1
Brothers Grimm,1
Arthur C. Clarke,1
Oku no Hosomichi,1
Joseph Campbell,1
The Return of the Native,1
Mordor,1
Rhinoceros,1
Ireland,1
Snow White and the Seven Dwarfs (1912 play),1
The Woman Warrior,1
E. L. Doctorow,1
Tokyo,1
John Stuart Mill,1
If on a winter's night a traveler,1
Mrs Dalloway,1
Persian,1
Portuguese language,1
Northanger Abbey,1
The Luncheon on the Grass ,1
Seán O'Casey,1
It's the End of the World as We Know It (And I Feel Fine),1
The Outsiders,1
Elizabeth Bennet,1
Cavalier poet,1
Raven,1
The Ambassadors,1
Oscar,1
East of Eden,1
Gerard Manley Hopkins,1
Mending Wall,1
James,1
New Zealand,1
Francis of Assisi,1
Heart,1
Battle of Stamford Bridge,1
Mikhail Bulgakov,1
Surrealism,1
Aristotle,1
André Gide,1
Michael Chabon,1
Harm Wiersma,1
The Comedy of Errors,1
Leo,1
Lev,1
The Twilight Saga: New Moon,1
Sweden,1
Puck (A Midsummer Night's Dream),1
Tom Jones,1
Winnie-the-Pooh,1
C. Wright Mills,1
Yoknapatawpha County,1
Queequeg,1
Murder on the Orient Express,1
Doctor Faustus (play),1
An Occurrence at Owl Creek Bridge,1
Epistolary,1
Generation of '27,1
Golden,1
Pierre Corneille,1
Czech,1
The Weary Blues,1
Sister Carrie,1
Gao Xingjian,1
Fronde,1
The Courtship of Miles Standish,1
Doctor Faustus (novel),1
Peter Pan,1
"Matthew Arnold School, Staines-upon-Thames",1
Cannery Row,1
Henry Miller,1
The Death of Ivan Ilyich,1
Sun,1
Republic,1
Battle of the Milvian Bridge,1
James Hilton,1
Iago,1
Lady Macbeth,1
Miguel Angel Asturias Rosales,1
Arthur Conan Doyle,1
Canon,1
Spanish-American War,1
Harry S. Truman,1
The House of Mirth,1
Aethiopica,1
Isaac Asimov,1
Agatha Christie,1
Burroughs,1
Orphan,1
Henry-Rene-Albert Guy de Maupassant,1
Dulce et Decorum est,1
White Fang,1
Ariel,1
Rome,1
Epistolary novel,1
Ben,1
The Magic Flute,1
Time,1
Mary Shelley,1
Mishima,1
German,1
Miss Lonelyhearts,1
Langston,1
"Private Eye Action, as You Like It",1
The Gospel According to Jesus Christ,1
Fruit,1
Thucydides,1
Apology (Plato),1
Urn,1
Guy Montag,1
Cavalier,1
The Spanish Tragedy,1
The Merry Wives of Windsor,1
George Herbert,1
Euclid,1
Sheep,1
Mississippi,1
Jeeves,1
White,1
Philip Freneau,1
The Idea of Order at Key West,1
Kenya,1
The Bacchae,1
Du Maurier,1
Czech language,1
Tragedy,1
Cicero,1
Civil Disobedience (Thoreau),1
Demian,1
The Social Network,1
François Duvalier,1
El Señor Presidente,1
Bilbo Baggins,1
William S. Burroughs,1
Romeo and Juliet,1
Gertrude Stein,1
Karel Capek,1
Noun,1
Kafka on the Shore,1
Love,1
Kalidasa,1
The Art of War,1
Hansel and Gretel,1
Gulf of Oman,1
Dido,1
Free will,1
My Antonia,1
Portuguese,1
Jun'ichiro Tanizaki,1
Wolfe,1
Roland,1
Holy Sonnets,1
We,1
Stopping by Woods on a Snowy Evening,1
Manuel Puig,1
Diary,1
Angels in America: A Gay Fantasia on National Themes,1
The Castle,1
H,1
Amis,1
The Forsyte Saga,1
Angel,1
Norwegian Wood (This Bird Has Flown),1
C. S. Lewis,1
The Myth of Sisyphus,1
American Pastoral,1
Caliban,1
Walden,1
All the world's a stage,1
Evelyn Waugh,1
The Amazing Adventures of Kavalier & Clay,1
Drama,1
Charlemagne,1
Lord Jim,1
Pearl,1
William II of Sicily,1
Mother Courage and Her Children,1
Agatha,1
Carduelis,1
The Aleph (short story collection),1
Venice,1
Basketball,1
Saki,1
Titus Andronicus,1
Sailing to Byzantium,1
Salmon of Knowledge,1
Henry V,1
The Temple of the Golden Pavilion,1
Aida,1
United Kingdom,1
Aghwee the Sky Monster,1
Sleepwalking,1
Neil Simon,1
Crane,1
Hanbun no Tsuki ga Noboru Sora,1
Hart Crane,1
A House for Mr Biswas,1
The Bells,1
Mann,1
Nikolai,1
The Devil's Dictionary,1
The Bostonians,1
Pig,1
Acts of the Apostles,1
Troy,1
London,1
"Look Homeward, Angel",1
Medea,1
Beauty,1
Willa,1
Octopus (disambiguation),1
Walter Mitty,1
Marvin's Room (film),1
Song of Songs,1
The Inspector General,1
Sappho,1
Middletown,1
Czech Republic,1
Naked Lunch,1
glyph817ausea ,1
Genji,1
Diary of a Madman,1
The Lady of Shalott,1
Confessions,1
House,1
Joseph,1
Metaphor,1
Cinderella,1
Juana Inés de la Cruz,1
Kidnapped,1
On Crimes and Punishments,1
Phillis Wheatley,1
Hongloumong ,1
O'Connor,1
Emily,1
The Maids,1
Matsuo Basho ,1
Count Dracula,1
Black-Scholes model,1
Salt,1
Susan Sontag,1
James Agee,1
Either/Or,1
Rashomon,1
Charlotte Perkins Gilman,1
Edmund Spenser,1
Dubliners,1
Wilfrid Owen,1
The Faerie Queene,1
Marie Antoinette,1
Jews,1
Fanny Price,1
Leatherstocking Tales,1
The Celebrated Jumping Frog of Calaveras County,1
Magic realism,1
Paul Revere,1
Betrayal,1
Russian,1
A Connecticut Yankee in King Arthur's Court,1
Encyclopedia,1
For Whom the Bell Tolls,1
Gulliver,1
In Cold Blood,1
Long Day's Journey into glyph817ight,1
The Human Comedy,1
William Porter,1
Oklahoma!,1
Texas,1
Outsourced,1
Benjamin,1
Soliloquy,1
Inca mythology,1
Louisa May Alcott,1
"""Ode to a glyph1197ightingale""",1
Günther,1
Meleager,1
Laurence Sterne,1
Rappaccini's Daughter,1
The Portrait of a Lady,1
The Silent Cry,1
Miholjska prevlaka,1
Barcelona,1
List of members of the Swedish Academy,1
Twenty Thousand Leagues Under the Sea,1
Everything That Rises Must Converge,1
Charge of the Light Brigade,1
The Elements of Style,1
Castle,1
Randall Jarrell,1
Gabriela Mistral,1
Dictionary,1
John Berryman,1
A Handful of Dust,1
Second Coming,1
Time travel,1
Mac Flecknoe,1
Nun,1
Invisibility,1
Richard Lovelace,1
Matsuo Basho,1
Father,1
C. Auguste Dupin,1
Jane,1
Wasteland,1
Isaac Babel,1
California Gurls,1
Iceland,1
Desiderius Erasmus,1
John Suckling,1
Othello,1
Teacher,1
A Modest Proposal,1
Jhumpa Lahiri,1
Histories,1
William Dean Howells,1
JB,1
Rhyme,1
Wilfred,1
Blanche DuBois,1
"L'Allegro, il Penseroso ed il Moderato",1
Niobe,1
"Winesburg, Ohio (novel)",1
Calcium,1
Lady Chatterley's Lover,1
Through the Looking-Glass,1
Rossetti,1
The Chairs,1
Kurt Warner,1
Prometheus Unbound,1
Vietnam War,1
Abraham Lincoln,1
Tobacco Road,1
Umlaut,1
Anomie,1
Michael Ondaatje,1
Mahabharata,1
Morrissey,1
Scarlett O'Hara,1
The Chronicles of Narnia,1
Prometheus Bound,1
Harold Bloom,1
Fathers and Sons (novel),1
Oresteia,1
Henrik,1
Christina Rossetti,1
Guitar,1
California,1
Bathing,1
Stephen Vincent Benét,1
Ken Kesey,1
Antonia Shimerda ,1
Philip II,1
Daniel Webster,1
Dr. Lemuel Gulliver ,1
Notes from Underground,1
Tryin' to Throw Your Arms Around the World,1
List of books banned by governments,1
Fallout 3,1
Maya Angelou,1
The Revolt of Islam,1
Franz Werfel,1
Cat and mouse,1
Orecta lycidas,1
Chorus,1
Triangle,1
Cross-dressing,1
"Faust, Utah",1
John Barth,1
The Glass Bead Game,1
Frank Norris,1
Literary fragment,1
Gerald du Maurier,1
The Duchess of Malfi,1
Stream of consciousness,1
The Two Gentlemen of Verona,1
Harlem,1
Claudius,1
Jean-Jacques Rousseau,1
Metaphysics,1
Quo vadis?,1
Lope de Vega,1
Norman Mailer,1
The Flea (poem),1
Amartya Sen,1
Swan Lake,1
David,1
Jules Verne,1
Inigo Montoya,1
haikus by Matsuo Basho,1
The Purloined Letter,1
O Captain! My Captain!,1
The Communist Manifesto,1
Archibald MacLeish,1
Michel de Montaigne,1
Military history of ancient Rome,1
Beard,1
Grass court,1
The Seagull,1
Shylock,1
Prophet (disambiguation),1
Switzerland,1
Howl,1
Aesop's Fables,1
Nelson Algren,1
Edward,1
July's People,1
Jorge,1
The Fountainhead,1
The Negro Speaks of Rivers,1
1001 (number),1
Snow White and the Seven Dwarfs (1937 film),1
Maria von Trapp,1
The Darkling Thrush,1
The Pirates of Penzance,1
X chromosome,1
Glass,1
The Call of the Wild,1
Charlotte Brontë,1
When I Consider How My Light is Spent,1
Billy Budd,1
"Easter, 1916",1
David Herbert,1
Thomas Middleton,1
White noise,1
New York University,1
Malebolge,1
Kingdom of France,1
Zorba,1
German Romanticism,1
The Maltese Falcon,1
To a Skylark,1
J. B. Bobo,1
Light,1
Chinese,1
Natsume Soseki ,1
To be announced,1
Der Erlkönig,1
The Heart Is a Lonely Hunter,1
Pitmatic,1
Prince Hamlet,1
Saint Crispin's Day,1
The Baby Party,1
Library,1
All My Sons,1
Rip Van Winkle,1
Natty Bumppo,1
Socratic dialogue,1
Maya peoples,1
Moby Dick (unfinished film),1
Kalidasa ,1
Smith,1
List of Tom Sawyer characters,1
Normans,1
Ali Baba and 40 Thieves (video game),1
Richard III of England,1
Miami,1
Venus,1
Arthur Schopenhauer,1
The Time Machine,1
The Beat Generation,1
David Copperfield,1
Frog,1
Bleak House,1
Iamb,1
Echidna,1
Charlotte's Web,1
"""Master Harold""...and the Boys",1
Herodotus,1
Pedro Calderón de la Barca,1
Aeneas,1
Twelfth Night,1
Fence (disambiguation),1
Amy Tan,1
Lillian Hellman,1
"""Lines Composed a Few Miles Above Tintern Abbey, On Revisiting the Banks of the Wye During a Tour. July 12, 1798.""",1
Iran,1
Volpone,1
Fart,1
Lorraine Hansberry,1
Miguel de Unamuno,1
Timon of Athens,1
Anton,1
The Outcasts of Poker Flat (1952 film),1
Electra,1
The Wife of Bath's Tale,1
Star Trek,1
Roman à clef,1
Priest,1
Edward Elgar,1
Morality play,1
Ngugi wa Thiong'o,1
J. R. R. Tolkien,1
Homer,1
Objectivism,1
Matsuo,1
Heinrich Heine,1
Giovanni,1
River,1
D. W. Griffith,1
Einstein on the Beach,1
Golden Boy of Pye Corner,1
Dario Fo,1
Oliver Wendell Holmes Sr.,1
Our Man in Havana,1
Incubus,1
Baba Yaga,1
Florida,1
Jerusalem Delivered,1
A Bar at the Folies-Bergere ,1
Anatole France,1
Nikos Kazantzakis,1
The Adventures of Tom Sawyer,1
Breakfast at Tiffany's (novella),1
October 1913,1
John Brown,1
Atticus Finch,1
Water Margin,1
Man in the Iron Mask,1
Simone Martini,1
Anton Pavelovich Chekhov,1
Nurse Ratched,1
Of Mice and Men,1
Internment,1
Nosferatu,1
Lowell,1
Car,1
Labyrinths,1
Ode,1
Oliver Twist (disambiguation),1
Swiss Alps,1
A Shropshire Lad,1
"Winesburg, Ohio",1
Flower,1
Sestina,1
Louis the Pious,1
E. T. A. Hoffmann,1
San Francisco,1
Next Year,1
Fiddler on the Roof,1
Allegory,1
Peer Gynt,1
Kite,1
Daphne du Maurier,1
Penelope,1
Nightingale (disambiguation),1
Breakfast at Tiffany's,1
Premature burial,1
Notes from the Underground,1
Annie Proulx,1
Baker,1
The Bear (1984 film),1
Robot,1
Utopia,1
Jack Kerouac,1
Betty Friedan,1
The Caucasian Chalk Circle,1
Václav Havel,1
Odyssey,1
The Overcoat,1
Salinger,1
Wallace,1
"Tuskegee, Alabama",1
The Recognition of Sakuntala ,1
Orange,1
Fidelio,1
The Wheel of Time,1
THOMAS,1
Bhagavad Gita,1
Turandot,1
Mark,1
Jean Racine,1
Coda,1
Berengar,1
Walt,1
Wollstonecraft,1
Dr. Jekyll and Mr. Hyde (character),1
The Hollow Men (comedy troupe),1
Spanish,1
Brahma Sutras,0
Queen of spades,0
Colley Cibber,0
Grand Theft Auto: Vice City,0
Federico García,0
Tradition and the Individual Talent,0
The Corrections,0
Michel Houellebecq,0
Soliloquy of the Spanish Cloister,0
Thyrsis,0
Stanley Cavell,0
John Webster,0
John Crowe Ransom,0
The Bridge on the Drina,0
Le Morte d'Arthur,0
Host,0
Alice Adams,0
Season of Migration to the North,0
G. K. Chesterton,0
Independent People,0
The Time of Your Life,0
Douglas,0
Marius the Epicurean,0
Patriotic Gore,0
No One Writes to the Colonel,0
John Cross (artist),0
Zhu Bajie,0
Myosotis,0
George Chapman,0
Alejo Carpentier,0
Josef K,0
Satanic Verses,0
The Stone Diaries,0
Ubu Roi,0
The Earthquake in Chile,0
Flatland,0
Becky Sharp,0
Fasti,0
François Villon,0
Paul,0
The Village Blacksmith (film),0
List of rivers of Colorado,0
Philippine-American War ,0
Nicholas Nickleby,0
Ode: Intimations of Immortality,0
Henrik Pontoppidan,0
Gem of the Ocean,0
Oration on the Dignity of Man,0
Collins,0
Charade,0
The Hobbit,0
Thomas Keneally,0
Robert Bridges,0
Dominicae Cenae,0
Pilgrim at Tinker Creek,0
Thomas Dekker,0
Vladimir Propp,0
The Fault in Our Stars,0
The Song of the Lark,0
Judy Blume,0
In Search of Our Mothers' Gardens,0
Pump organ,0
Walker Percy,0
Margarita,0
